Column,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,JobTitle,CleanedCity
100,144930.0,HONOLULU,HI,96825,238110,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/12/2020,"Bank of Hawaii",HI-01,"Poured Concrete Foundation and Structure Contractors",HONOLULU
101,144900.0,HONOLULU,HI,96813,621111,Corporation,Asian,"Male Owned",Non-Veteran,,12.0,04/09/2020,"Ohana Pacific Bank",HI-01,"Offices of Physicians (except Mental Health Specialists)",HONOLULU
102,144900.0,HONOLULU,HI,96815,621610,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,23.0,05/01/2020,"American Savings Bank, FSB",HI-01,"Home Health Care Services",HONOLULU
103,144872.0,HONOLULU,HI,96819,334511,"Sole Proprietorship",Unanswered,"Male Owned",Non-Veteran,,6.0,05/04/2020,"First Hawaiian Bank",HI-01,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",HONOLULU
104,144800.0,"EWA BEACH",HI,96706,621210,Corporation,Unanswered,Unanswered,Unanswered,,10.0,04/07/2020,"Central Pacific Bank",HI-01,"Offices of Dentists","EWA BEACH"
105,144705.0,"KAILUA KONA",HI,96740,441228,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/11/2020,"Bank of Hawaii",HI-02,"Motorcycle, ATV, and All Other Motor Vehicle Dealers","KAILUA KONA"
106,144600.0,WAILUKU,HI,96793,444190,"Sole Proprietorship",Unanswered,Unanswered,Unanswered,,15.0,04/11/2020,"Central Pacific Bank",HI-02,"Other Building Material Dealers",WAILUKU
107,144600.0,LIHUE,HI,96766,238990,Corporation,Unanswered,"Female Owned",Unanswered,,10.0,04/05/2020,"American Savings Bank, FSB",HI-02,"All Other Specialty Trade Contractors",LIHUE
108,144500.0,WAIPAHU,HI,96797,561730,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,4.0,04/04/2020,"First Hawaiian Bank",HI-01,"Landscaping Services",WAIPAHU
109,144500.0,KIHEI,HI,96753,238340,Corporation,White,"Male Owned",Non-Veteran,,13.0,04/08/2020,"American Savings Bank, FSB",HI-02,"Tile and Terrazzo Contractors",KIHEI
110,144400.0,AIEA,HI,96701,337110,Corporation,Asian,"Male Owned",Unanswered,,20.0,04/29/2020,"Hawaii National Bank",HI-01,"Wood Kitchen Cabinet and Countertop Manufacturing",AIEA
111,144400.0,HONOLULU,HI,96814,238330,Corporation,Asian,Unanswered,Unanswered,,14.0,04/07/2020,"American Savings Bank, FSB",HI-01,"Flooring Contractors",HONOLULU
112,144377.5,HONOLULU,HI,96815,448120,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/28/2020,"First Hawaiian Bank",HI-01,"Women's Clothing Stores",HONOLULU
113,144300.0,KAILUA,HI,96734,443142,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/15/2020,"Bank of Hawaii",HI-02,"Electronics Stores",KAILUA
114,144300.0,MILILANI,HI,96789,238140,Corporation,Unanswered,Unanswered,Unanswered,,11.0,06/01/2020,"American Savings Bank, FSB",HI-01,"Masonry Contractors",MILILANI
115,144285.0,KANEOHE,HI,96744,311991,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,"Bank of Hawaii",HI-02,"Perishable Prepared Food Manufacturing",KANEOHE
116,144207.0,MILILANI,HI,96789,813110,"Non-Profit Organization",Unanswered,Unanswered,Unanswered,Y,27.0,05/01/2020,"First Hawaiian Bank",HI-01,"Religious Organizations",MILILANI
117,144165.0,HONOLULU,HI,96813,561312,Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,"Bank of Hawaii",HI-01,"Executive Search Services",HONOLULU
118,144000.0,HONOLULU,HI,96825,722515,Corporation,Asian,"Female Owned",Unanswered,,20.0,04/03/2020,"American Savings Bank, FSB",HI-01,"Snack and Nonalcoholic Beverage Bars",HONOLULU
119,143887.0,HILO,HI,96720,722513,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Veteran,,0.0,05/03/2020,"Cross River Bank",HI-02,"Limited-Service Restaurants",HILO
120,143800.0,HONOLULU,HI,96819,423990,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,16.0,04/05/2020,"American Savings Bank, FSB",HI-01,"Other Miscellaneous Durable Goods Merchant Wholesalers",HONOLULU
121,143800.0,LAHAINA,HI,96761,442110,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/28/2020,"First Hawaiian Bank",HI-02,"Furniture Stores",LAHAINA
122,143732.0,HONOLULU,HI,96813,812310,Corporation,White,"Female Owned",Non-Veteran,,,04/09/2020,"Central Pacific Bank",HI-01,"Coin-Operated Laundries and Drycleaners",HONOLULU
123,143600.0,HONOLULU,HI,96813,314120,"Limited  Liability Company(LLC)",Unanswered,"Male Owned",Unanswered,,11.0,04/04/2020,"American Savings Bank, FSB",HI-01,"Curtain and Linen Mills",HONOLULU
124,143597.5,HONOLULU,HI,96813,621340,"Limited  Liability Company(LLC)",Asian,Unanswered,Unanswered,,8.0,04/14/2020,"First Hawaiian Bank",HI-01,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",HONOLULU
125,143500.0,KAPOLEI,HI,96709,112111,"Subchapter S Corporation",Unanswered,Unanswered,Unanswered,,,04/10/2020,"Bank of Hawaii",HI-02,"Beef Cattle Ranching and Farming",KAPOLEI
126,143400.0,"WAIKOLOA VILLAGE",HI,96738,238320,"Limited  Liability Company(LLC)",Unanswered,Unanswered,Unanswered,,20.0,04/12/2020,"American Savings Bank, FSB",HI-02,"Painting and Wall Covering Contractors",WAIKOLOA
127,143400.0,KAPOLEI,HI,96709,236116,Corporation,Unanswered,"Male Owned",Non-Veteran,,14.0,04/12/2020,"Central Pacific Bank",HI-02,"New Multifamily Housing Construction (except For-Sale Builders)",KAPOLEI
128,143400.0,WAIPAHU,HI,96797,238150,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/08/2020,"Central Pacific Bank",HI-01,"Glass and Glazing Contractors",WAIPAHU
129,143397.0,KAHULUI,HI,96732,334510,Corporation,Unanswered,Unanswered,Unanswered,,10.0,05/01/2020,"First Hawaiian Bank",HI-02,"Electromedical and Electrotherapeutic Apparatus Manufacturing",KAHULUI
130,143300.0,KAPOLEI,HI,96707,722511,Corporation,Asian,"Male Owned",Unanswered,,25.0,04/05/2020,"American Savings Bank, FSB",HI-02,"Full-Service Restaurants",KAPOLEI
131,143300.0,HONOLULU,HI,96814,621111,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/08/2020,"American Savings Bank, FSB",HI-01,"Offices of Physicians (except Mental Health Specialists)",HONOLULU
132,143282.0,HANALEI,HI,96714,722511,Corporation,Unanswered,Unanswered,Unanswered,,33.0,05/15/2020,"Bank of Hawaii",HI-02,"Full-Service Restaurants",HANALEI
133,143200.0,HONOLULU,HI,96817,722513,Corporation,Unanswered,Unanswered,Unanswered,,19.0,04/10/2020,"Central Pacific Bank",HI-01,"Limited-Service Restaurants",HONOLULU
134,143100.0,HONOLULU,HI,96813,541110,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/06/2020,"American Savings Bank, FSB",HI-01,"Offices of Lawyers",HONOLULU
