LoanAmount,City,Zip,JobsReported,DateApproved,MonthApproved,Lender,JobTitle,CleanedCity
149100,HONOLULU,96813,10,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,HONOLULU
149000,KAPAA,96746,26,2020-04-09T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,KAPAA
148900,KAMUELA,96743,13,2020-04-16T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FOOD SERVICE CONTRACTORS,KAMUELA
148900,HILO,96720,17,2020-04-16T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,MASONRY CONTRACTORS,HILO
148900,KAHULUI,96732,1,2020-05-07T00:00:00Z,MAY,CENTRAL PACIFIC BANK,OTHER ACTIVITIES RELATED TO REAL ESTATE,KAHULUI
148900,AIEA,96701,13,2020-04-09T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,AIEA
148722,HONOLULU,96819,80,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",HONOLULU
148700,KAPOLEI,96707,13,2020-04-05T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,KAPOLEI
148700,HONOLULU,96816,20,2020-04-09T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,FINISH CARPENTRY CONTRACTORS,HONOLULU
148600,HONOLULU,96813,42,2020-04-04T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FINE ARTS SCHOOLS,HONOLULU
148600,EWA BEACH,96706,17,2020-04-06T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION,EWA BEACH
148600,MOUNTAIN VIEW,96771,14,2020-04-07T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,MOUNTAIN VIEW
148595,AIEA,96701,1,2020-04-15T00:00:00Z,APRIL,BANK OF HAWAII,RESIDENTIAL PROPERTY MANAGERS,AIEA
148500,LAHAINA,96761,13,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,TOUR OPERATORS,LAHAINA
148500,KAILUA,96734,10,2020-04-04T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OTHER BUILDING MATERIAL DEALERS,KAILUA
148500,KAILUA,96734,16,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,KAILUA
148400,HONOLULU,96814,23,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",HONOLULU
148400,HONOLULU,96814,7,2020-04-07T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,HONOLULU
148300,PEARL CITY,96782,20,2020-04-04T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,PEARL CITY
148292,LAHAINA,96761,20,2020-05-07T00:00:00Z,MAY,BANK OF HAWAII,FULL-SERVICE RESTAURANTS,LAHAINA
148200,KAPAA,96746,23,2020-04-15T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,SECURITY GUARDS AND PATROL SERVICES,KAPAA
148200,KAHULUI,96732,15,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,TIRE DEALERS,KAHULUI
148100,HONOLULU,96814,1,2020-05-05T00:00:00Z,MAY,CENTRAL PACIFIC BANK,DRINKING PLACES (ALCOHOLIC BEVERAGES),HONOLULU
148000,KAHULUI,96732,28,2020-04-03T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",LIMITED-SERVICE RESTAURANTS,KAHULUI
148000,HONOLULU,96814,11,2020-04-09T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ARCHITECTURAL SERVICES,HONOLULU
147972.5,HONOLULU,96826,13,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF REAL ESTATE AGENTS AND BROKERS,HONOLULU
147900,HONOLULU,96826,9,2020-04-05T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ARCHITECTURAL SERVICES,HONOLULU
147800,HONOLULU,96819,17,2020-04-06T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,MEAT MARKETS,HONOLULU
147800,WAILUKU,96793,8,2020-04-27T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF LAWYERS,WAILUKU
147700,HILO,96720,1,2020-04-12T00:00:00Z,APRIL,BANK OF HAWAII,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),HILO
147700,KAILUA KONA,96740,13,2020-04-07T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",ALL OTHER SUPPORT SERVICES,KAILUA KONA
147500,LIHUE,96766,1,2020-04-13T00:00:00Z,APRIL,BANK OF HAWAII,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,LIHUE
147487,HONOLULU,96813,7,2020-04-27T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,DRILLING OIL AND GAS WELLS,HONOLULU
147400,HONOLULU,96826,1,2020-04-30T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ALL OTHER SPECIALTY TRADE CONTRACTORS,HONOLULU
147312.5,LAHAINA,96761,12,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ART DEALERS,LAHAINA
147300,HONOLULU,96813,11,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",HONOLULU
147294,HONOLULU,96817,13,2020-07-24T00:00:00Z,JULY,"KABBAGE, INC.",TEMPORARY HELP SERVICES,HONOLULU
147117.5,LAHAINA,96761,12,2020-04-27T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,LAHAINA
147030,AIEA,96701,1,2020-04-11T00:00:00Z,APRIL,BANK OF HAWAII,PLASTICS BAG AND POUCH MANUFACTURING,AIEA
147000,HONOLULU,96817,20,2020-04-28T00:00:00Z,APRIL,"TRANSPECOS BANKS, SSB.",THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,HONOLULU
146997.5,PUUNENE,96784,7,2020-05-01T00:00:00Z,MAY,FIRST HAWAIIAN BANK,STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,PUUNENE
146960,HONOLULU,96813,1,2020-04-28T00:00:00Z,APRIL,BANK OF HAWAII,OFFICES OF LAWYERS,HONOLULU
146800,HILO,96720,13,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OTHER COMMUNITY HOUSING SERVICES,HILO
146675,LIHUE,96766,19,2020-04-29T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OTHER INDIVIDUAL AND FAMILY SERVICES,LIHUE
146641,KAPAA,96746,25,2020-05-03T00:00:00Z,MAY,CROSS RIVER BANK,OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION,KAPAA
146600,HILO,96720,1,2020-05-06T00:00:00Z,MAY,CENTRAL PACIFIC BANK,FULL-SERVICE RESTAURANTS,HILO
146600,HONOLULU,96826,15,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,TRAVEL AGENCIES,HONOLULU
146500,KAILUA KONA,96740,1,2020-04-30T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",KAILUA KONA
146300,HONOLULU,96819,11,2020-04-03T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,HONOLULU
146300,HONOLULU,96813,12,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,NONRESIDENTIAL PROPERTY MANAGERS,HONOLULU
146255,HONOLULU,96817,30,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ALL OTHER SUPPORT SERVICES,HONOLULU
146200,HONOLULU,96819,9,2020-04-04T00:00:00Z,APRIL,HAWAII NATIONAL BANK,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",HONOLULU
146200,KAHULUI,96732,32,2020-04-09T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OTHER PERSONAL CARE SERVICES,KAHULUI
146100,HONOLULU,96815,21,2020-04-10T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,NONRESIDENTIAL PROPERTY MANAGERS,HONOLULU
146100,WAIPAHU,96797,10,2020-04-04T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),WAIPAHU
146077.5,HONOLULU,96815,47,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,HONOLULU
146000,WAIPAHU,96797,20,2020-04-10T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,WAIPAHU
146000,KAILUA KONA,96745,8,2020-04-05T00:00:00Z,APRIL,BANK OF HAWAII,TEMPORARY HELP SERVICES,KAILUA KONA
146000,KAILUA,96734,11,2020-04-28T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,KAILUA
146000,HONOLULU,96813,10,2020-04-07T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),HONOLULU
145905,HONOLULU,96819,1,2020-04-13T00:00:00Z,APRIL,BANK OF HAWAII,OTHER BUILDING MATERIAL DEALERS,HONOLULU
145900,HONOLULU,96817,9,2020-04-08T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ARCHITECTURAL SERVICES,HONOLULU
145833.35,LIHUE,96766,1,2020-04-07T00:00:00Z,APRIL,KAUA'I GOVERNMENT EMPLOYEES' FCU,MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES,LIHUE
145830,KAUNAKAKAI,96748,1,2020-06-22T00:00:00Z,JUNE,BANK OF HAWAII,OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS,KAUNAKAKAI
145800,KULA,96790,12,2020-04-10T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",ALL OTHER MISCELLANEOUS CROP FARMING,KULA
145800,HONOLULU,96814,10,2020-04-09T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,WIRED TELECOMMUNICATIONS CARRIERS,HONOLULU
145790,HONOLULU,96823,17,2020-04-27T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,HONOLULU
145700,HONOLULU,96815,12,2020-04-12T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,HONOLULU
145700,WAIPAHU,96797,14,2020-05-08T00:00:00Z,MAY,HAWAII NATIONAL BANK,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,WAIPAHU
145635,HONOLULU,96819,1,2020-04-14T00:00:00Z,APRIL,BANK OF HAWAII,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,HONOLULU
145595,KOLOA,96756,25,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",KOLOA
145500,HILO,96720,8,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ARCHITECTURAL SERVICES,HILO
145500,HONOLULU,96816,13,2020-04-08T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF DENTISTS,HONOLULU
145300,HONOLULU,96813,1,2020-04-12T00:00:00Z,APRIL,BANK OF HAWAII,MARKETING RESEARCH AND PUBLIC OPINION POLLING,HONOLULU
145300,HONOLULU,96817,14,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",RESIDENTIAL REMODELERS,HONOLULU
145200,KAHULUI,96732,18,2020-04-04T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",,KAHULUI
145190,HONOLULU,96817,16,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,HONOLULU
145012.5,HONOLULU,96814,11,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,TOUR OPERATORS,HONOLULU
145010,HILO,96720,1,2020-04-15T00:00:00Z,APRIL,BANK OF HAWAII,SPORTING GOODS STORES,HILO
145000,KEALAKEKUA,96750,10,2020-04-05T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS,KEALAKEKUA
145000,HONOLULU,96819,1,2020-04-14T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,BOTTLED WATER MANUFACTURING,HONOLULU
145000,KAILUA KONA,96745,1,2020-04-15T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),KAILUA KONA
144990,KAMUELA,96743,17,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD",KAMUELA
144930,HONOLULU,96825,1,2020-04-12T00:00:00Z,APRIL,BANK OF HAWAII,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,HONOLULU
144900,HONOLULU,96813,12,2020-04-09T00:00:00Z,APRIL,OHANA PACIFIC BANK,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),HONOLULU
144900,HONOLULU,96815,23,2020-05-01T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",HOME HEALTH CARE SERVICES,HONOLULU
144872,HONOLULU,96819,6,2020-05-04T00:00:00Z,MAY,FIRST HAWAIIAN BANK,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",HONOLULU
144800,EWA BEACH,96706,10,2020-04-07T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OFFICES OF DENTISTS,EWA BEACH
144705,KAILUA KONA,96740,1,2020-04-11T00:00:00Z,APRIL,BANK OF HAWAII,"MOTORCYCLE, ATV, AND ALL OTHER MOTOR VEHICLE DEALERS",KAILUA KONA
144600,WAILUKU,96793,15,2020-04-11T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,OTHER BUILDING MATERIAL DEALERS,WAILUKU
144600,LIHUE,96766,10,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",ALL OTHER SPECIALTY TRADE CONTRACTORS,LIHUE
144500,WAIPAHU,96797,4,2020-04-04T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,LANDSCAPING SERVICES,WAIPAHU
144500,KIHEI,96753,13,2020-04-08T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",TILE AND TERRAZZO CONTRACTORS,KIHEI
144400,AIEA,96701,20,2020-04-29T00:00:00Z,APRIL,HAWAII NATIONAL BANK,WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,AIEA
144400,HONOLULU,96814,14,2020-04-07T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",FLOORING CONTRACTORS,HONOLULU
144377.5,HONOLULU,96815,14,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,WOMEN'S CLOTHING STORES,HONOLULU
144300,KAILUA,96734,1,2020-04-15T00:00:00Z,APRIL,BANK OF HAWAII,ELECTRONICS STORES,KAILUA
144300,MILILANI,96789,11,2020-06-01T00:00:00Z,JUNE,"AMERICAN SAVINGS BANK, FSB",MASONRY CONTRACTORS,MILILANI
144285,KANEOHE,96744,1,2020-04-12T00:00:00Z,APRIL,BANK OF HAWAII,PERISHABLE PREPARED FOOD MANUFACTURING,KANEOHE
144207,MILILANI,96789,27,2020-05-01T00:00:00Z,MAY,FIRST HAWAIIAN BANK,RELIGIOUS ORGANIZATIONS,MILILANI
144165,HONOLULU,96813,1,2020-04-11T00:00:00Z,APRIL,BANK OF HAWAII,EXECUTIVE SEARCH SERVICES,HONOLULU
144000,HONOLULU,96825,20,2020-04-03T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",SNACK AND NONALCOHOLIC BEVERAGE BARS,HONOLULU
143887,HILO,96720,1,2020-05-03T00:00:00Z,MAY,CROSS RIVER BANK,LIMITED-SERVICE RESTAURANTS,HILO
143800,HONOLULU,96819,16,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,HONOLULU
143800,LAHAINA,96761,8,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FURNITURE STORES,LAHAINA
143732,HONOLULU,96813,1,2020-04-09T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,COIN-OPERATED LAUNDRIES AND DRYCLEANERS,HONOLULU
143600,HONOLULU,96813,11,2020-04-04T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",CURTAIN AND LINEN MILLS,HONOLULU
143597.5,HONOLULU,96813,8,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",HONOLULU
143500,KAPOLEI,96709,1,2020-04-10T00:00:00Z,APRIL,BANK OF HAWAII,BEEF CATTLE RANCHING AND FARMING,KAPOLEI
143400,WAIKOLOA VILLAGE,96738,20,2020-04-12T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",PAINTING AND WALL COVERING CONTRACTORS,WAIKOLOA
143400,KAPOLEI,96709,14,2020-04-12T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),KAPOLEI
143400,WAIPAHU,96797,8,2020-04-08T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,GLASS AND GLAZING CONTRACTORS,WAIPAHU
143397,KAHULUI,96732,10,2020-05-01T00:00:00Z,MAY,FIRST HAWAIIAN BANK,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,KAHULUI
143300,KAPOLEI,96707,25,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",FULL-SERVICE RESTAURANTS,KAPOLEI
143300,HONOLULU,96814,11,2020-04-08T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),HONOLULU
143282,HANALEI,96714,33,2020-05-15T00:00:00Z,MAY,BANK OF HAWAII,FULL-SERVICE RESTAURANTS,HANALEI
143200,HONOLULU,96817,19,2020-04-10T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,LIMITED-SERVICE RESTAURANTS,HONOLULU
143100,HONOLULU,96813,9,2020-04-06T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF LAWYERS,HONOLULU
143020,KAMUELA,96743,1,2020-05-20T00:00:00Z,MAY,BANK OF HAWAII,SITE PREPARATION CONTRACTORS,KAMUELA
143000,HONOLULU,96817,1,2020-04-13T00:00:00Z,APRIL,BANK OF HAWAII,HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,HONOLULU
143000,HALEIWA,96712,17,2020-04-05T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,HALEIWA
142900,PEARL CITY,96782,29,2020-04-14T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,FULL-SERVICE RESTAURANTS,PEARL CITY
142867.5,HONOLULU,96817,9,2020-04-30T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,HORSES AND OTHER EQUINE PRODUCTION,HONOLULU
142800,KAILUA,96734,16,2020-04-03T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",OFFICES OF DENTISTS,KAILUA
142800,HONOLULU,96814,36,2020-04-13T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,RESIDENTIAL REMODELERS,HONOLULU
142700,HONOLULU,96813,8,2020-04-06T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OFFICES OF LAWYERS,HONOLULU
142700,WAIPAHU,96797,9,2020-04-09T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",WAIPAHU
142660,KAPOLEI,96707,10,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,SITE PREPARATION CONTRACTORS,KAPOLEI
142600,KAUNAKAKAI,96748,18,2020-05-01T00:00:00Z,MAY,"AMERICAN SAVINGS BANK, FSB",COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,KAUNAKAKAI
142475,HILO,96720,18,2020-04-16T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,HILO
142400,KAILUA-KONA,96740,1,2020-05-05T00:00:00Z,MAY,CENTRAL PACIFIC BANK,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,KAILUA KONA
142255,WAILUKU,96793,8,2020-05-03T00:00:00Z,MAY,FIRST HAWAIIAN BANK,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",WAILUKU
142245,HONOLULU,96817,8,2020-05-03T00:00:00Z,MAY,BANK OF HAWAII,RESIDENTIAL REMODELERS,HONOLULU
142100,LAHAINA,96761,10,2020-04-11T00:00:00Z,APRIL,"AMERICAN SAVINGS BANK, FSB",SITE PREPARATION CONTRACTORS,LAHAINA
142100,AIEA,96701,7,2020-04-06T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,FOOD (HEALTH) SUPPLEMENT STORES,AIEA
142100,HONOLULU,96813,8,2020-04-07T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,ELEVATOR AND MOVING STAIRWAY MANUFACTURING,HONOLULU
142065,HONOLULU,96815,1,2020-04-12T00:00:00Z,APRIL,BANK OF HAWAII,FULL-SERVICE RESTAURANTS,HONOLULU
142000,HOLUALOA,96725,5,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,OTHER ACTIVITIES RELATED TO REAL ESTATE,HOLUALOA
142000,HILO,96720,13,2020-04-15T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,AUTOMOTIVE PARTS AND ACCESSORIES STORES,HILO
142000,HONOLULU,96818,1,2020-04-14T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,HOME HEALTH CARE SERVICES,HONOLULU
142000,HONOLULU,96826,11,2020-04-14T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,CIVIC AND SOCIAL ORGANIZATIONS,HONOLULU
142000,HONOLULU,96826,27,2020-07-04T00:00:00Z,JULY,FOUNTAINHEAD SBF LLC,JANITORIAL SERVICES,HONOLULU
141950,KAILUA KONA,96745,1,2020-04-12T00:00:00Z,APRIL,BANK OF HAWAII,"SCENIC AND SIGHTSEEING TRANSPORTATION, LAND",KAILUA KONA
141900,LAHAINA,96761,28,2020-04-11T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,LAHAINA
141900,VOLCANO,96785,28,2020-04-07T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,CONVENIENCE STORES,VOLCANO
141900,HONOLULU,96813,6,2020-04-14T00:00:00Z,APRIL,CENTRAL PACIFIC BANK,GRANTMAKING FOUNDATIONS,HONOLULU
141900,HONOLULU,96817,11,2020-04-28T00:00:00Z,APRIL,FIRST HAWAIIAN BANK,INDUSTRIAL BUILDING CONSTRUCTION,HONOLULU
141885,KAILUA KONA,96740,1,2020-04-11T00:00:00Z,APRIL,BANK OF HAWAII,INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,KAILUA KONA
