,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,2017 NAICS Code,2017 NAICS Title
12,149320.0,KAHULUI,HI,96732,238220,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,,04/12/2020,Bank of Hawaii,HI-02,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
13,149300.0,Puunene,HI,96784,238990,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/08/2020,Central Pacific Bank,HI-02,238990,All Other Specialty Trade Contractors
14,149300.0,LIHUE,HI,96766,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11.0,04/06/2020,Central Pacific Bank,HI-02,236220,Commercial and Institutional Building Construction 
15,149200.0,HONOLULU,HI,96814,541512,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/07/2020,"American Savings Bank, FSB",HI-01,541512,Computer Systems Design Services 
16,149100.0,LAHAINA,HI,96761,713990,Corporation,Unanswered,Male Owned,Unanswered,,76.0,04/13/2020,First Hawaiian Bank,HI-02,713990,All Other Amusement and Recreation Industries 
17,149100.0,Honolulu,HI,96813,541611,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10.0,04/14/2020,First Hawaiian Bank,HI-01,541611,Administrative Management and General Management Consulting Services 
18,149000.0,KAPAA,HI,96746,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26.0,04/09/2020,First Hawaiian Bank,HI-02,722511,Full-Service Restaurants 
19,148900.0,KAMUELA,HI,96743,722310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13.0,04/16/2020,First Hawaiian Bank,HI-02,722310,Food Service Contractors
20,148900.0,Hilo,HI,96720,238140,Corporation,Unanswered,Male Owned,Non-Veteran,,17.0,04/16/2020,First Hawaiian Bank,HI-02,238140,Masonry Contractors 
21,148900.0,Kahului,HI,96732,531390,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/07/2020,Central Pacific Bank,HI-02,531390,Other Activities Related to Real Estate 
22,148900.0,AIEA,HI,96701,238110,Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/09/2020,Central Pacific Bank,HI-01,238110,Poured Concrete Foundation and Structure Contractors 
23,148722.0,HONOLULU,HI,96819,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,80.0,04/28/2020,First Hawaiian Bank,HI-01,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
24,148700.0,KAPOLEI,HI,96707,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/05/2020,Central Pacific Bank,HI-02,621210,Offices of Dentists 
25,148700.0,HONOLULU,HI,96816,238350,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,04/09/2020,Central Pacific Bank,HI-01,238350,Finish Carpentry Contractors
26,148600.0,HONOLULU,HI,96813,611610,Corporation,Unanswered,Unanswered,Unanswered,,42.0,04/04/2020,First Hawaiian Bank,HI-01,611610,Fine Arts Schools 
27,148600.0,EWA BEACH,HI,96706,485999,Corporation,Unanswered,Unanswered,Unanswered,,17.0,04/06/2020,"American Savings Bank, FSB",HI-01,485999,All Other Transit and Ground Passenger Transportation 
28,148600.0,MOUNTAIN VIEW,HI,96771,424690,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/07/2020,"American Savings Bank, FSB",HI-02,424690,Other Chemical and Allied Products Merchant Wholesalers 
29,148595.0,AIEA,HI,96701,531311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,Bank of Hawaii,HI-01,531311,Residential Property Managers 
30,148500.0,LAHAINA,HI,96761,561520,Corporation,White,Male Owned,Non-Veteran,,13.0,04/15/2020,First Hawaiian Bank,HI-02,561520,Tour Operators
31,148500.0,KAILUA,HI,96734,444190,Corporation,White,Male Owned,Non-Veteran,,10.0,04/04/2020,"American Savings Bank, FSB",HI-02,444190,Other Building Material Dealers 
32,148500.0,KAILUA,HI,96734,238210,Corporation,Unanswered,Unanswered,Unanswered,,16.0,04/14/2020,First Hawaiian Bank,HI-02,238210,Electrical Contractors and Other Wiring Installation Contractors
33,148400.0,HONOLULU,HI,96814,446120,Corporation,Unanswered,Unanswered,Unanswered,,23.0,04/15/2020,First Hawaiian Bank,HI-01,446120,"Cosmetics, Beauty Supplies, and Perfume Stores "
34,148400.0,HONOLULU,HI,96814,541211,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/07/2020,First Hawaiian Bank,HI-01,541211,Offices of Certified Public Accountants 
35,148300.0,PEARL CITY,HI,96782,325199,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,04/04/2020,Central Pacific Bank,HI-01,325199,All Other Basic Organic Chemical Manufacturing 
36,148292.0,LAHAINA,HI,96761,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,05/07/2020,Bank of Hawaii,HI-02,722511,Full-Service Restaurants 
37,148200.0,KAPAA,HI,96746,561612,Corporation,Asian,Male Owned,Non-Veteran,,23.0,04/15/2020,Central Pacific Bank,HI-02,561612,Security Guards and Patrol Services 
38,148200.0,Kahului,HI,96732,441320,Subchapter S Corporation,Unanswered,Male Owned,Veteran,,15.0,04/30/2020,First Hawaiian Bank,HI-02,441320,Tire Dealers 
39,148100.0,Honolulu,HI,96814,722410,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/05/2020,Central Pacific Bank,HI-01,722410,Drinking Places (Alcoholic Beverages) 
40,148000.0,KAHULUI,HI,96732,722513,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,28.0,04/03/2020,"American Savings Bank, FSB",HI-02,722513,Limited-Service Restaurants 
41,148000.0,HONOLULU,HI,96814,541310,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/09/2020,Central Pacific Bank,HI-01,541310,Architectural Services
42,147972.5,HONOLULU,HI,96826,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13.0,04/28/2020,First Hawaiian Bank,HI-01,531210,Offices of Real Estate Agents and Brokers
43,147900.0,HONOLULU,HI,96826,541310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9.0,04/05/2020,Central Pacific Bank,HI-01,541310,Architectural Services
44,147800.0,HONOLULU,HI,96819,445210,Corporation,Unanswered,Unanswered,Unanswered,,17.0,04/06/2020,Central Pacific Bank,HI-01,445210,Meat Markets 
45,147800.0,Wailuku,HI,96793,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8.0,04/27/2020,First Hawaiian Bank,HI-02,541110,Offices of Lawyers
46,147700.0,HILO,HI,96720,621111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-02,621111,Offices of Physicians (except Mental Health Specialists) 
47,147700.0,KAILUA KONA,HI,96740,561990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,13.0,04/07/2020,"American Savings Bank, FSB",HI-02,561990,All Other Support Services
48,147500.0,LIHUE,HI,96766,423990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,Bank of Hawaii,HI-02,423990,Other Miscellaneous Durable Goods Merchant Wholesalers 
49,147487.0,Honolulu,HI,96813,213111,Corporation,Unanswered,Unanswered,Unanswered,,7.0,04/27/2020,First Hawaiian Bank,HI-01,213111,Drilling Oil and Gas Wells
50,147400.0,HONOLULU,HI,96826,238990,Corporation,Unanswered,Male Owned,Non-Veteran,,0.0,04/30/2020,Central Pacific Bank,HI-01,238990,All Other Specialty Trade Contractors
51,147312.5,LAHAINA,HI,96761,453920,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12.0,04/30/2020,First Hawaiian Bank,HI-02,453920,Art Dealers 
52,147300.0,HONOLULU,HI,96813,811121,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/06/2020,First Hawaiian Bank,HI-01,811121,"Automotive Body, Paint, and Interior Repair and Maintenance "
53,147294.0,Honolulu,HI,96817,561320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13.0,07/24/2020,"Kabbage, Inc.",HI-01,561320,Temporary Help Services
54,147117.5,LAHAINA,HI,96761,713990,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,12.0,04/27/2020,First Hawaiian Bank,HI-02,713990,All Other Amusement and Recreation Industries 
55,147030.0,AIEA,HI,96701,326111,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/11/2020,Bank of Hawaii,HI-01,326111,Plastics Bag and Pouch Manufacturing 
56,147000.0,Honolulu,HI,96817,524292,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,20.0,04/28/2020,"TransPecos Banks, SSB.",HI-01,524292,Third Party Administration of Insurance and Pension Funds 
57,146997.5,Puunene,HI,96784,238120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7.0,05/01/2020,First Hawaiian Bank,HI-02,238120,Structural Steel and Precast Concrete Contractors 
58,146960.0,HONOLULU,HI,96813,541110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/28/2020,Bank of Hawaii,HI-01,541110,Offices of Lawyers
59,146800.0,HILO,HI,96720,624229,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,13.0,04/14/2020,First Hawaiian Bank,HI-02,624229,Other Community Housing Services 
60,146675.0,Lihue,HI,96766,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,19.0,04/29/2020,First Hawaiian Bank,HI-02,624190,Other Individual and Family Services 
61,146641.0,Kapaa,HI,96746,522390,Corporation,Unanswered,Unanswered,Unanswered,,25.0,05/03/2020,Cross River Bank,HI-02,522390,Other Activities Related to Credit Intermediation 
62,146600.0,Hilo,HI,96720,722511,Corporation,Unanswered,Unanswered,Unanswered,,0.0,05/06/2020,Central Pacific Bank,HI-02,722511,Full-Service Restaurants 
63,146600.0,HONOLULU,HI,96826,561510,Corporation,Unanswered,Unanswered,Unanswered,,15.0,04/14/2020,First Hawaiian Bank,HI-01,561510,Travel Agencies
64,146500.0,Kailua Kona,HI,96740,811121,Corporation,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,Central Pacific Bank,HI-02,811121,"Automotive Body, Paint, and Interior Repair and Maintenance "
65,146300.0,HONOLULU,HI,96819,541211,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,11.0,04/03/2020,"American Savings Bank, FSB",HI-01,541211,Offices of Certified Public Accountants 
66,146300.0,HONOLULU,HI,96813,531312,Corporation,Unanswered,Unanswered,Unanswered,,12.0,04/14/2020,First Hawaiian Bank,HI-01,531312,Nonresidential Property Managers 
67,146255.0,HONOLULU,HI,96817,561990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30.0,04/30/2020,First Hawaiian Bank,HI-01,561990,All Other Support Services
68,146200.0,HONOLULU,HI,96819,238220,Limited  Liability Company(LLC),Asian,Male Owned,Veteran,,9.0,04/04/2020,Hawaii National Bank,HI-01,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
69,146200.0,KAHULUI,HI,96732,812199,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,32.0,04/09/2020,"American Savings Bank, FSB",HI-02,812199,Other Personal Care Services 
70,146100.0,HONOLULU,HI,96815,531312,Corporation,Unanswered,Unanswered,Unanswered,,21.0,04/10/2020,First Hawaiian Bank,HI-01,531312,Nonresidential Property Managers 
71,146100.0,WAIPAHU,HI,96797,621111,Limited  Liability Company(LLC),Hispanic,Male Owned,Unanswered,,10.0,04/04/2020,"American Savings Bank, FSB",HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
72,146077.5,HONOLULU,HI,96815,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,47.0,04/15/2020,First Hawaiian Bank,HI-01,722511,Full-Service Restaurants 
73,146000.0,WAIPAHU,HI,96797,423120,Corporation,Unanswered,Unanswered,Unanswered,,20.0,04/10/2020,First Hawaiian Bank,HI-01,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers 
74,146000.0,KAILUA KONA,HI,96745,561320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8.0,04/05/2020,Bank of Hawaii,HI-02,561320,Temporary Help Services
75,146000.0,Kailua,HI,96734,811219,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/28/2020,Central Pacific Bank,HI-02,811219,Other Electronic and Precision Equipment Repair and Maintenance 
76,146000.0,HONOLULU,HI,96813,621111,Corporation,Unanswered,Unanswered,Unanswered,,10.0,04/07/2020,"American Savings Bank, FSB",HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
77,145905.0,HONOLULU,HI,96819,444190,Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,Bank of Hawaii,HI-01,444190,Other Building Material Dealers 
78,145900.0,HONOLULU,HI,96817,541310,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/08/2020,Central Pacific Bank,HI-01,541310,Architectural Services
79,145833.35,LIHUE,HI,96766,523999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/07/2020,Kaua'i Government Employees' FCU,HI-02,523999,Miscellaneous Financial Investment Activities 
80,145830.0,KAUNAKAKAI,HI,96748,423440,Corporation,Unanswered,Unanswered,Unanswered,,,06/22/2020,Bank of Hawaii,HI-02,423440,Other Commercial Equipment Merchant Wholesalers 
81,145800.0,KULA,HI,96790,111998,Corporation,Black or African American,Female Owned,Non-Veteran,,12.0,04/10/2020,"American Savings Bank, FSB",HI-02,111998,All Other Miscellaneous Crop Farming 
82,145800.0,HONOLULU,HI,96814,517311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10.0,04/09/2020,First Hawaiian Bank,HI-01,517311,Wired Telecommunications Carriers 
83,145790.0,Honolulu,HI,96823,238110,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,17.0,04/27/2020,First Hawaiian Bank,HI-01,238110,Poured Concrete Foundation and Structure Contractors 
84,145700.0,HONOLULU,HI,96815,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12.0,04/12/2020,Central Pacific Bank,HI-01,621210,Offices of Dentists 
85,145700.0,Waipahu,HI,96797,238210,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,14.0,05/08/2020,Hawaii National Bank,HI-01,238210,Electrical Contractors and Other Wiring Installation Contractors
86,145635.0,HONOLULU,HI,96819,541690,Limited  Liability Company(LLC),Asian,Unanswered,Unanswered,,,04/14/2020,Bank of Hawaii,HI-01,541690,Other Scientific and Technical Consulting Services
87,145595.0,KOLOA,HI,96756,487210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,25.0,04/30/2020,First Hawaiian Bank,HI-02,487210,"Scenic and Sightseeing Transportation, Water"
88,145500.0,HILO,HI,96720,541310,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,8.0,04/06/2020,First Hawaiian Bank,HI-02,541310,Architectural Services
89,145500.0,HONOLULU,HI,96816,621210,Corporation,Asian,Male Owned,Non-Veteran,,13.0,04/08/2020,"American Savings Bank, FSB",HI-01,621210,Offices of Dentists 
90,145300.0,HONOLULU,HI,96813,541910,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-01,541910,Marketing Research and Public Opinion Polling
91,145300.0,HONOLULU,HI,96817,236118,Corporation,Asian,Male Owned,Unanswered,,14.0,04/05/2020,"American Savings Bank, FSB",HI-01,236118,Residential Remodelers 
92,145200.0,KAHULUI,HI,96732,532299,Corporation,White,Unanswered,Unanswered,,18.0,04/04/2020,"American Savings Bank, FSB",HI-02,,
93,145190.0,HONOLULU,HI,96817,424420,Corporation,Unanswered,Unanswered,Unanswered,,16.0,04/28/2020,First Hawaiian Bank,HI-01,424420,Packaged Frozen Food Merchant Wholesalers 
94,145012.5,Honolulu,HI,96814,561520,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/14/2020,First Hawaiian Bank,HI-01,561520,Tour Operators
95,145010.0,HILO,HI,96720,451110,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/15/2020,Bank of Hawaii,HI-02,451110,Sporting Goods Stores 
96,145000.0,KEALAKEKUA,HI,96750,424490,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10.0,04/05/2020,Central Pacific Bank,HI-02,424490,Other Grocery and Related Products Merchant Wholesalers 
97,145000.0,HONOLULU,HI,96819,312112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/14/2020,Central Pacific Bank,HI-01,312112,Bottled Water Manufacturing 
98,145000.0,KAILUA KONA,HI,96745,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,Central Pacific Bank,HI-02,236115,New Single-Family Housing Construction (except For-Sale Builders) 
99,144990.0,KAMUELA,HI,96743,484122,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,17.0,04/28/2020,First Hawaiian Bank,HI-02,484122,"General Freight Trucking, Long-Distance, Less Than Truckload "
100,144930.0,HONOLULU,HI,96825,238110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-01,238110,Poured Concrete Foundation and Structure Contractors 
101,144900.0,HONOLULU,HI,96813,621111,Corporation,Asian,Male Owned,Non-Veteran,,12.0,04/09/2020,Ohana Pacific Bank,HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
102,144900.0,Honolulu,HI,96815,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,23.0,05/01/2020,"American Savings Bank, FSB",HI-01,621610,Home Health Care Services
103,144872.0,HONOLULU,HI,96819,334511,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,6.0,05/04/2020,First Hawaiian Bank,HI-01,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing "
104,144800.0,EWA BEACH,HI,96706,621210,Corporation,Unanswered,Unanswered,Unanswered,,10.0,04/07/2020,Central Pacific Bank,HI-01,621210,Offices of Dentists 
105,144705.0,KAILUA KONA,HI,96740,441228,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI-02,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers "
106,144600.0,WAILUKU,HI,96793,444190,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,15.0,04/11/2020,Central Pacific Bank,HI-02,444190,Other Building Material Dealers 
107,144600.0,LIHUE,HI,96766,238990,Corporation,Unanswered,Female Owned,Unanswered,,10.0,04/05/2020,"American Savings Bank, FSB",HI-02,238990,All Other Specialty Trade Contractors
108,144500.0,WAIPAHU,HI,96797,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4.0,04/04/2020,First Hawaiian Bank,HI-01,561730,Landscaping Services
109,144500.0,KIHEI,HI,96753,238340,Corporation,White,Male Owned,Non-Veteran,,13.0,04/08/2020,"American Savings Bank, FSB",HI-02,238340,Tile and Terrazzo Contractors
110,144400.0,Aiea,HI,96701,337110,Corporation,Asian,Male Owned,Unanswered,,20.0,04/29/2020,Hawaii National Bank,HI-01,337110,Wood Kitchen Cabinet and Countertop Manufacturing
111,144400.0,HONOLULU,HI,96814,238330,Corporation,Asian,Unanswered,Unanswered,,14.0,04/07/2020,"American Savings Bank, FSB",HI-01,238330,Flooring Contractors
112,144377.5,Honolulu,HI,96815,448120,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/28/2020,First Hawaiian Bank,HI-01,448120,Women's Clothing Stores 
113,144300.0,KAILUA,HI,96734,443142,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,Bank of Hawaii,HI-02,443142,Electronics Stores 
114,144300.0,MILILANI,HI,96789,238140,Corporation,Unanswered,Unanswered,Unanswered,,11.0,06/01/2020,"American Savings Bank, FSB",HI-01,238140,Masonry Contractors 
115,144285.0,KANEOHE,HI,96744,311991,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,HI-02,311991,Perishable Prepared Food Manufacturing 
116,144207.0,Mililani,HI,96789,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,27.0,05/01/2020,First Hawaiian Bank,HI-01,813110,Religious Organizations 
117,144165.0,HONOLULU,HI,96813,561312,Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI-01,561312,Executive Search Services 
118,144000.0,HONOLULU,HI,96825,722515,Corporation,Asian,Female Owned,Unanswered,,20.0,04/03/2020,"American Savings Bank, FSB",HI-01,722515,Snack and Nonalcoholic Beverage Bars 
119,143887.0,Hilo,HI,96720,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,0.0,05/03/2020,Cross River Bank,HI-02,722513,Limited-Service Restaurants 
120,143800.0,HONOLULU,HI,96819,423990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16.0,04/05/2020,"American Savings Bank, FSB",HI-01,423990,Other Miscellaneous Durable Goods Merchant Wholesalers 
121,143800.0,Lahaina,HI,96761,442110,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/28/2020,First Hawaiian Bank,HI-02,442110,Furniture Stores 
122,143732.0,HONOLULU,HI,96813,812310,Corporation,White,Female Owned,Non-Veteran,,,04/09/2020,Central Pacific Bank,HI-01,812310,Coin-Operated Laundries and Drycleaners 
123,143600.0,HONOLULU,HI,96813,314120,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,11.0,04/04/2020,"American Savings Bank, FSB",HI-01,314120,Curtain and Linen Mills
124,143597.5,Honolulu,HI,96813,621340,Limited  Liability Company(LLC),Asian,Unanswered,Unanswered,,8.0,04/14/2020,First Hawaiian Bank,HI-01,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists "
125,143500.0,KAPOLEI,HI,96709,112111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/10/2020,Bank of Hawaii,HI-02,112111,Beef Cattle Ranching and Farming 
126,143400.0,WAIKOLOA VILLAGE,HI,96738,238320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,04/12/2020,"American Savings Bank, FSB",HI-02,238320,Painting and Wall Covering Contractors
127,143400.0,KAPOLEI,HI,96709,236116,Corporation,Unanswered,Male Owned,Non-Veteran,,14.0,04/12/2020,Central Pacific Bank,HI-02,236116,New Multifamily Housing Construction (except For-Sale Builders) 
128,143400.0,WAIPAHU,HI,96797,238150,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/08/2020,Central Pacific Bank,HI-01,238150,Glass and Glazing Contractors 
129,143397.0,Kahului,HI,96732,334510,Corporation,Unanswered,Unanswered,Unanswered,,10.0,05/01/2020,First Hawaiian Bank,HI-02,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing 
130,143300.0,KAPOLEI,HI,96707,722511,Corporation,Asian,Male Owned,Unanswered,,25.0,04/05/2020,"American Savings Bank, FSB",HI-02,722511,Full-Service Restaurants 
131,143300.0,HONOLULU,HI,96814,621111,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/08/2020,"American Savings Bank, FSB",HI-01,621111,Offices of Physicians (except Mental Health Specialists) 
132,143282.0,HANALEI,HI,96714,722511,Corporation,Unanswered,Unanswered,Unanswered,,33.0,05/15/2020,Bank of Hawaii,HI-02,722511,Full-Service Restaurants 
133,143200.0,HONOLULU,HI,96817,722513,Corporation,Unanswered,Unanswered,Unanswered,,19.0,04/10/2020,Central Pacific Bank,HI-01,722513,Limited-Service Restaurants 
134,143100.0,HONOLULU,HI,96813,541110,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/06/2020,"American Savings Bank, FSB",HI-01,541110,Offices of Lawyers
135,143020.0,KAMUELA,HI,96743,238910,Corporation,Unanswered,Unanswered,Unanswered,,,05/20/2020,Bank of Hawaii,HI-02,238910,Site Preparation Contractors
136,143000.0,HONOLULU,HI,96817,333414,Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,Bank of Hawaii,HI-01,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing 
137,143000.0,HALEIWA,HI,96712,236220,Corporation,Unanswered,Unanswered,Unanswered,,17.0,04/05/2020,"American Savings Bank, FSB",HI-02,236220,Commercial and Institutional Building Construction 
138,142900.0,Pearl City,HI,96782,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29.0,04/14/2020,First Hawaiian Bank,HI-01,722511,Full-Service Restaurants 
139,142867.5,HONOLULU,HI,96817,112920,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,9.0,04/30/2020,First Hawaiian Bank,HI-01,112920,Horses and Other Equine Production
140,142800.0,KAILUA,HI,96734,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16.0,04/03/2020,"American Savings Bank, FSB",HI-02,621210,Offices of Dentists 
141,142800.0,HONOLULU,HI,96814,236118,Corporation,Unanswered,Unanswered,Unanswered,,36.0,04/13/2020,First Hawaiian Bank,HI-01,236118,Residential Remodelers 
142,142700.0,HONOLULU,HI,96813,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8.0,04/06/2020,First Hawaiian Bank,HI-01,541110,Offices of Lawyers
143,142700.0,WAIPAHU,HI,96797,238220,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/09/2020,Central Pacific Bank,HI-01,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
