Lender,AVG(LoanAmount)
"AMERICAN SAVINGS BANK, FSB",34004.6234786184
"RURAL COMMUNITY ASSISTANCE CORPORATION",33658.61
"TCF NATIONAL BANK",33013.8875
"GLACIER BANK",32849.5
"TERRITORIAL SAVINGS BANK",32342.0
"CENTRAL PACIFIC BANK",31316.1462554427
"HOMESTREET BANK",31017.6470588235
"RADIUS BANK",30737.0714285714
"SILICON VALLEY BANK",30102.02
"READYCAP LENDING, LLC",29946.6666666667
"NEWTEK SMALL BUSINESS FINANCE, INC.",28646.6666666667
"INDEPENDENT BANK",28600.0
"D. L. EVANS BANK",27050.0
"MIDAMERICA NATIONAL BANK",26750.0
"AMERICAN EXPRESS NATIONAL BANK",26393.0625
"AMERICAN BUSINESS BANK",26266.0
"CU HAWAII FCU",26133.5372815534
"UNITED COMMUNITY BANK",25766.6666666667
"MEGA BANK",25577.8
"FARMERS & MERCHANTS BANK OF LONG BEACH",25464.5
"HAWAII COMMUNITY FCU",24982.6535
"INTUIT FINANCING INC.",24950.0602409639
"ELCA FCU",24586.8
"BANNER BANK",24482.5
"AMERICAN LENDING CENTER",24438.75
"BANK OF THE SIERRA",24300.0
"SYNOVUS BANK",24298.675
"TRUSTMARK NATIONAL BANK",23697.0
"EVOLVE BANK & TRUST",23566.6666666667
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",22726.625
"HAWAIIUSA FCU",22665.5722324159
"OHANA PACIFIC BANK",22397.572815534
"UNITED METHODIST FCU",22328.75
"HIAWATHA NATIONAL BANK",22300.0
"FARM BUREAU BANK, FSB",22246.875
"BANK OF AMERICA, NATIONAL ASSOCIATION",22090.1159821429
"FIRST STATE BANK",21550.0
"GATHER FCU",21478.818057554
"KAUA'I GOVERNMENT EMPLOYEES' FCU",21139.6569512195
"BANK OF GUAM",20833.33
"CHARTWAY FCU",20833.33
"NEWTON FEDERAL BANK",20833.32
"SUMMIT BANK",20833.32
"BANK OF SOUTHERN CALIFORNIA, NATIONAL ASSOCIATION",20800.0
BANKVISTA,20800.0
"FIRST UNITED BANK AND TRUST COMPANY",20800.0
"REGIONS BANK",20800.0
"ALPINE BANK",20600.0
"COMMUNITY FIRST NATIONAL BANK",20600.0
"FIRST COMMAND BANK",20462.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",20260.4166666667
"COMMUNITY COMMERCE BANK",20000.0
"FIRST REPUBLIC BANK",19740.0
"HAPPY STATE BANK",19700.0
"PEOPLE'S BANK OF SENECA",19125.0
"CITIBANK, N.A.",19000.0
"THE CANANDAIGUA NATIONAL BANK AND TRUST COMPANY",18557.5
"NAVY FCU",18483.7837837838
"VIBRANT CU",18450.0
"NORTHWEST FCU",18275.0
"TIAA BANK, A DIVISION OF",18212.4833333333
"CROSS RIVER BANK",17959.433150289
"CACHE VALLEY BANK",17881.2857142857
"MBE CAPITAL PARTNERS",17745.8909090909
"HAWAII CENTRAL FCU",17056.6690909091
"FUNDBOX, INC.",16596.0636363636
"HAWAII FIRST FCU",16580.6068518519
"CASCADE COMMUNITY FCU",16554.0
"CAPITAL ONE, NATIONAL ASSOCIATION",16349.3333333333
WEBBANK,15889.368
"REDWOOD CU",15565.0
"BLACK HILLS COMMUNITY BANK, NATIONAL ASSOCIATION",15000.0
FVCBANK,14812.5
"PACIFIC PREMIER BANK",14502.0
"U.S. BANK, NATIONAL ASSOCIATION",14333.65
"KABBAGE, INC.",13796.8329848229
"CUSTOMERS BANK",13428.3684210526
"FIRST CITIZENS BANK OF BUTTE",12500.0
"SOUTHERNTRUST BANK",12490.0
"VALLEY ISLE COMMUNITY FCU",12170.154
"FINWISE BANK",11600.0
"ALLEGACY FCU",11432.41
"FIRST FINANCIAL BANK",10600.0
"CELTIC BANK CORPORATION",10283.3395533141
"FINANCIAL PARTNERS CU",10282.5
"NCMIC FINANCE CORPORATION",9790.0
"GREAT WESTERN BANK",9682.0
"CRF SMALL BUSINESS LOAN COMPANY, LLC",9550.0
"FROST BANK",9300.0
"OPPORTUNITY FUND COMMUNITY DEVELOPMENT",9200.0
"PINNACLE BANK",9100.0
"COASTHILLS CU",9070.0
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",9035.0
"PHELPS COUNTY BANK",8713.915
"HANCOCK WHITNEY BANK",8582.0
"MECHANICS BANK",8457.5
"GEORGIA'S OWN CU",8357.5
"NBKC BANK",8250.0
"CONTINENTAL BANK",8000.0
"FIRST COMMONWEALTH BANK",7600.0
"CITIZENS BANK, NATIONAL ASSOCIATION",7353.5
"TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK, INC.",7000.0
"FIRST INTERSTATE BANK",6847.55
"CENTRAL BANK OF THE MIDWEST",6800.0
"DUNDEE BANK",6200.0
"FIRST NATIONAL BANK",5580.0
"TRUIST BANK D/B/A BRANCH BANKING & TRUST CO",5577.915
"FIRST NATIONAL BANK ALASKA",4898.12333333333
"FIRST GUARANTY BANK",4792.0
"NOTRE DAME FCU",4500.0
"PRESTAMOS CDFI, LLC",4323.32
"COTTONWOOD COMMUNITY FCU",4133.55
"NUMERICA CU",4097.65
"AMERICA'S CHRISTIAN CU",3800.0
"FIREFIGHTERS FIRST FCU",3800.0
"MICHIGAN STATE UNIVERSITY FCU",3800.0
"MIDFIRST BANK",3500.0
"SANTA CRUZ COUNTY BANK",3417.0
"ITRIA VENTURES LLC",3330.66666666667
"COAST CENTRAL CU",2742.0
"ALASKA USA FCU",2623.0
"PINPOINT FCU",1100.0
