City,JobTitle,AVG(LoanAmount)
HONOLULU,"ELEVATOR AND MOVING STAIRWAY MANUFACTURING",142100.0
VOLCANO,"CONVENIENCE STORES",141900.0
"KAILUA KONA","INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS",141885.0
LIHUE,"FLOOR COVERING STORES",141700.0
HILO,"TEXTILE AND FABRIC FINISHING MILLS",141620.0
LIHUE,"EXTERMINATING AND PEST CONTROL SERVICES",141500.0
KAPOLEI,"OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",140100.0
HILO,"WATER SUPPLY AND IRRIGATION SYSTEMS",139900.0
PUUNENE,"NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION",139600.0
HALEIWA,"OFFICES OF CHIROPRACTORS",139500.0
KULA,"WATER SUPPLY AND IRRIGATION SYSTEMS",139500.0
HONOLULULULU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",139300.0
WAIALUA,"RELIGIOUS ORGANIZATIONS",139300.0
"KAILUA KONA","VETERINARY SERVICES",139282.5
HALEIWA,"ROOFING CONTRACTORS",139200.0
KAPAA,"SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES",139116.0
KAILUA-KONA,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",139050.0
KAPOLEI,"ELEMENTARY AND SECONDARY SCHOOLS",138500.0
PRINCEVILLE,"GASOLINE STATIONS WITH CONVENIENCE STORES",138262.0
KUALAPUU,"SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES",138224.0
LAHAINA,"FLOOR COVERING STORES",138200.0
KONA,"FULL-SERVICE RESTAURANTS",138123.75
MILILANI,"OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING",138069.0
KAHULUI,"EMPLOYMENT PLACEMENT AGENCIES",138000.0
WAIPAHU,"VETERINARY SERVICES",137900.0
KAMUELA,"CARBON AND GRAPHITE PRODUCT MANUFACTURING",137700.0
AIEA,"DENTAL LABORATORIES",137500.0
KEAAU,"GASOLINE STATIONS WITH CONVENIENCE STORES",137500.0
KAMUELA,"FOOD (HEALTH) SUPPLEMENT STORES",137242.0
KURTISTOWN,"FRUIT AND TREE NUT COMBINATION FARMING",137200.0
KAPOLEI,"ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING",136600.0
"CAPTAIN COOK","FLOORING CONTRACTORS",136500.0
KANEOHE,"OTHER BUILDING EQUIPMENT CONTRACTORS",135182.0
HONOKAA,"ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES",135000.0
WAILUKU,"SEAFOOD PRODUCT PREPARATION AND PACKAGING",134600.0
LIHUE,"OFFICE ADMINISTRATIVE SERVICES",134585.0
WAILUKU,"ALL OTHER PUBLISHERS",134400.0
"PEARL CITY CITY","OFFICES OF DENTISTS",133927.0
WAILUKU,"SOLID WASTE COLLECTION",133900.0
KEAAU,"ELEMENTARY AND SECONDARY SCHOOLS",133200.0
HAIKU,"FRAMING CONTRACTORS",133195.0
PAIA,"THEATER COMPANIES AND DINNER THEATERS",133100.0
KILAUEA,"ZOOS AND BOTANICAL GARDENS",132609.0
"KAILUA KONA","OTHER CLOTHING STORES",132500.0
KEAAU,"MOTOR VEHICLE TOWING",132492.5
KAHULUI,"MIXED MODE TRANSIT SYSTEMS",132390.0
WAILUKU,"ALL OTHER OUTPATIENT CARE CENTERS",132300.0
LIHUE,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",132100.0
LAUPAHOEHOE,"RESIDENTIAL REMODELERS",131975.0
WAIALUA,"TOILET PREPARATION MANUFACTURING",131700.0
KAILUA,"CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS",131500.0
KIHEI,"LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)",131100.0
HALEIWA,"ALL OTHER OUTPATIENT CARE CENTERS",130672.5
HOLUALOA,"DRYWALL AND INSULATION CONTRACTORS",130420.0
HONOLULUOLULU,"ARCHITECTURAL SERVICES",130000.0
HONOLULU,"ALL OTHER PLASTICS PRODUCT MANUFACTURING",129900.0
HONOKAA,"ROOFING CONTRACTORS",129645.0
HANALEI,"SPORTING GOODS STORES",129600.0
KALAHEO,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",129520.0
LAIE,"POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS",129500.0
"PEARL CITY","EXTERMINATING AND PEST CONTROL SERVICES",129361.0
KILAUEA,"LIMITED-SERVICE RESTAURANTS",129196.0
KAPOLEI,"SECONDARY SMELTING, REFINING, AND ALLOYING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM)",129000.0
KAHULUI,"REMEDIATION SERVICES",128700.0
KAMUELA,"INLAND WATER PASSENGER TRANSPORTATION",128627.5
KAHUKU,"INVESTMENT ADVICE",128600.0
LAWAI,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",128592.0
KEAAU,"INDUSTRIAL BUILDING CONSTRUCTION",128400.0
MILILANILANI,"RELIGIOUS ORGANIZATIONS",128200.0
WAHIAWA,"PET CARE (EXCEPT VETERINARY) SERVICES",128200.0
"KAILUA KONA","PET CARE (EXCEPT VETERINARY) SERVICES",128100.0
HONOLULU,"SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING",127500.0
PRINCEVILLE,"SEWAGE TREATMENT FACILITIES",127500.0
"KAILUA KONA","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING",127482.0
HONOMU,"OTHER PERSONAL CARE SERVICES",127370.0
KAHULUI,"FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES MERCHANT WHOLESALERS",127070.0
MILILANI,"VETERINARY SERVICES",127000.0
KAHULUI,"WATER SUPPLY AND IRRIGATION SYSTEMS",126955.0
MILILANI,"DRINKING PLACES (ALCOHOLIC BEVERAGES)",126800.0
WAILUKU,"ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING",126700.0
LIHUE,"COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",126400.0
"KAILUA KONA","ALL OTHER INSURANCE RELATED ACTIVITIES",126300.0
WAILUKU,"WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",125900.0
"KAILUA KONA","SHELLFISH FARMING",125300.0
KULA,"GOAT FARMING",125242.0
KOLOA,"DIET AND WEIGHT REDUCING CENTERS",125000.0
MILILANI,"FISH AND SEAFOOD MERCHANT WHOLESALERS",125000.0
WAILUKU,"OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",124700.0
KULA,"SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES",124631.0
"KAILUA KONA","OTHER WASTE COLLECTION",124600.0
HILO,"DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS",124500.0
HONOLULU,"OTHER CONCRETE PRODUCT MANUFACTURING",124000.0
KAMUELA,"ALL OTHER SUPPORT SERVICES",124000.0
LAHAINA,"OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING",123895.0
"HONOLULU, HI","OTHER ACCOUNTING SERVICES",123600.0
KAHULUI,"OFFICES OF PODIATRISTS",123272.5
KEAAU,"OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING",122865.0
WAIPAHU,"ALL OTHER OUTPATIENT CARE CENTERS",122800.0
WAIANAE,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",122100.0
WAIPAHU,"ENVIRONMENTAL CONSULTING SERVICES",122010.0
KAHULUI,"NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING",122000.0
KANEOHEE,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",121800.0
MAKAWAO,"SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES",120900.0
"CAPTAIN COOK","SITE PREPARATION CONTRACTORS",120707.5
KAHULUI,"SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES",120700.0
HONOLULU,"INSTITUTIONAL FURNITURE MANUFACTURING",120500.0
HANAPEPE,"LIMITED-SERVICE RESTAURANTS",120200.0
HOLUALOA,"CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",120175.0
WAIPAHU,"DRYWALL AND INSULATION CONTRACTORS",120000.0
KAHULUI,"PAINT AND WALLPAPER STORES",119870.0
LAHAINA,"COMMERCIAL SCREEN PRINTING",119800.0
KAPOLEI,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",119694.0
HALEIWA,"CLOTHING ACCESSORIES STORES",119400.0
HILO,"ICE MANUFACTURING",119362.0
KAILUA-KONA,"USED MERCHANDISE STORES",119125.0
LIHUE,"OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS",119100.0
AIES,"MOBILE FOOD SERVICES",118897.0
HILO,"ROOFING CONTRACTORS",118890.0
HANALEI,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",118139.0
HONOLULU,"COMMUNITY FOOD SERVICES",117906.25
HANAPEPE,"FULL-SERVICE RESTAURANTS",117700.0
LIHUE,"ENGINEERING SERVICES",117700.0
MILILANI,"MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES",117700.0
KILAUEA,"ALL OTHER TRAVELER ACCOMMODATION",117500.0
"KAILUA, HI","FULL-SERVICE RESTAURANTS",117400.0
KANEOHE,"FINFISH FARMING AND FISH HATCHERIES",117020.0
KAMUELA,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD",116995.0
HAWI,"FULL-SERVICE RESTAURANTS",116578.0
KAHULUI,"FOOD (HEALTH) SUPPLEMENT STORES",116275.0
KIHEI,"MASONRY CONTRACTORS",115700.0
KAHUKU,"OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING",115530.0
HILO,"FARM LABOR CONTRACTORS AND CREW LEADERS",115300.0
PEPEEKEO,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",115300.0
"KAILUA KONA","SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",115265.0
KUNIA,DISTILLERIES,115100.0
HILO,"SOFT DRINK MANUFACTURING",115000.0
KILAUEA,"NURSERY AND TREE PRODUCTION",115000.0
LIHUE,"TRUSS MANUFACTURING",115000.0
KANEOHE,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",114915.0
WAIALUA,"RECREATIONAL AND VACATION CAMPS (EXCEPT CAMPGROUNDS)",114485.0
WAHIAWA,"RETAIL BAKERIES",114209.0
MAKAWAO,"ROOFING CONTRACTORS",114110.0
HONOLULU,"NITROGENOUS FERTILIZER MANUFACTURING",114035.0
HAIKU,"ALL OTHER PUBLISHERS",113900.0
KEALAKEKUA,"GENERAL AUTOMOTIVE REPAIR",113830.0
KAPOLEI,"FABRICATED STRUCTURAL METAL MANUFACTURING",113800.0
KANEOHE,"SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES",113700.0
WAIMANALO,"CIVIC AND SOCIAL ORGANIZATIONS",113700.0
"SUITE 620","OFFICES OF DENTISTS",113667.5
PUUNENE,"RECYCLABLE MATERIAL MERCHANT WHOLESALERS",113515.0
WAIKOLOA,LOGGING,113500.0
KAPAA,"PERIODICAL PUBLISHERS",113465.0
LAHAINA,"ROOFING CONTRACTORS",113212.0
WAIMEA,"OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING",112915.0
KAPOLEI,"TRUSS MANUFACTURING",112900.0
KIHEI,"HOME HEALTH CARE SERVICES",112900.0
WAILUKU,"COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE",112800.0
KAILUA-KONA,"SCHOOL AND EMPLOYEE BUS TRANSPORTATION",112795.0
HONOKAA,"OFFICES OF DENTISTS",112765.0
HAIKU,"SCENIC AND SIGHTSEEING TRANSPORTATION, OTHER",112700.0
HANA,"SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES",112672.0
"MOUNTAIN VIEW","LANDSCAPING SERVICES",112500.0
"PEARL CITY","VETERINARY SERVICES",112500.0
WAIANAE,"BOAT DEALERS",112500.0
KEAAU,"CUT STONE AND STONE PRODUCT MANUFACTURING",112490.0
WAIMANALO,"OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING",112455.0
WAIALUA,"SEPTIC TANK AND RELATED SERVICES",112400.0
HONOLULU,"POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS",112174.0
PAIA,"FULL-SERVICE RESTAURANTS",112150.0
KAILUA,"OTHER INDIVIDUAL AND FAMILY SERVICES",112000.0
"KAILUA KONA","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING",111900.0
LIHUE,"CAR WASHES",111800.0
AIEA,"GRANTMAKING FOUNDATIONS",111500.0
WAIANAE,"OTHER NONCITRUS FRUIT FARMING",111500.0
"CAPTAIN COOK","ALL OTHER MISCELLANEOUS FOOD MANUFACTURING",111480.0
"PEARL CITY","ART DEALERS",111190.0
KAILUA,"FREESTANDING AMBULATORY SURGICAL AND EMERGENCY CENTERS",111000.0
PUUNENE,"OTHER SERVICES TO BUILDINGS AND DWELLINGS",110900.0
WAIPAHU,"FUEL DEALERS",110900.0
WAHIAWA,"VETERINARY SERVICES",110795.0
HANAPEPE,"CONVENIENCE STORES",110600.0
HILO,"VETERINARY SERVICES",110431.666666667
HAWI,"LANDSCAPING SERVICES",110300.0
KAILUA,"OTHER TECHNICAL AND TRADE SCHOOLS",110220.0
HILO,"ANIMAL (EXCEPT POULTRY) SLAUGHTERING",110182.5
WAIPAHU,"ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES",110100.0
HONOLULU,"OTHER WASTE COLLECTION",110000.0
LAHAINA,"MOTION PICTURE THEATERS (EXCEPT DRIVE-INS)",109909.0
KAMUELA,"HOTELS (EXCEPT CASINO HOTELS) AND MOTELS",109350.0
AIEA,"INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS",109300.0
KAUNAKAKAI,"OTHER BUILDING MATERIAL DEALERS",109100.0
PRINCEVILLE,"LIMITED-SERVICE RESTAURANTS",108600.0
KAPOLEI,"WOOD WINDOW AND DOOR MANUFACTURING",108500.0
HONOLULU,"GENERAL WAREHOUSING AND STORAGE",107550.0
KANEOHE,"DRYWALL AND INSULATION CONTRACTORS",107500.0
LIHUE,"LEGAL COUNSEL AND PROSECUTION",107500.0
HILO,"TIRE DEALERS",107425.0
"184 PUUEO STREET","EXTERMINATING AND PEST CONTROL SERVICES",107397.5
KAUNAKAKAI,"FULL-SERVICE RESTAURANTS",107208.666666667
HAWI,"TOUR OPERATORS",107100.0
AIEA,"FIRE PROTECTION",107015.0
HOLUALOA,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",106920.0
KEAUHOU,"LANDSCAPING SERVICES",106910.0
HALEIWA,"MUSICAL INSTRUMENT AND SUPPLIES STORES",106800.0
KAILUA,"HOME HEALTH CARE SERVICES",106800.0
KAHULUI,"OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS",106747.5
KAPAAU,"GIFT, NOVELTY, AND SOUVENIR STORES",106600.0
LAHAINA,"MISCELLANEOUS INTERMEDIATION",106500.0
AIEA,"FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS",106022.0
KEAAU,"SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS",106000.0
HONOKAA,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",105900.0
"KAILUA KONA","SCENIC AND SIGHTSEEING TRANSPORTATION, LAND",105829.84
KILAUEA,"ELEMENTARY AND SECONDARY SCHOOLS",105700.0
HAWI,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",105678.0
"PEARL CITY","TRAVEL AGENCIES",105500.0
HILO,"RADIO NETWORKS",105185.0
HONOLULUONOLULU,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",105000.0
KAILUA,"SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES",104100.0
WAIPAHU,"HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",104063.55
HILO,"FUEL DEALERS",104000.0
KANEOHE,"PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS)",104000.0
KAPOLEI,"COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING",104000.0
KAHUKU,"SHELLFISH FARMING",103900.0
KILAUEA,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",103900.0
LIHUE,"FISH AND SEAFOOD MERCHANT WHOLESALERS",103715.0
KAPOLEI,"NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",103700.0
KUNIA,"LANDSCAPING SERVICES",103700.0
"PEARL CITY","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING",103400.0
HONOLULU,"INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS",103300.0
WAIPAHU,"AUTOMOTIVE TRANSMISSION REPAIR",103300.0
KAHUKU,"FULL-SERVICE RESTAURANTS",103280.0
LIHUE,"PAINTING AND WALL COVERING CONTRACTORS",103225.0
HAIKU,"GASOLINE STATIONS WITH CONVENIENCE STORES",103075.0
"HONOLULU,","MARKETING CONSULTING SERVICES",102982.0
LIHUE,"COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE",102700.0
WAILUKU,"OTHER BUILDING EQUIPMENT CONTRACTORS",102698.5
KAHULUI,"ADVERTISING AGENCIES",102600.0
HILO,"GENERAL LINE GROCERY MERCHANT WHOLESALERS",102500.0
KAPAAU,"NURSERY AND TREE PRODUCTION",102460.0
WAIANAE,"COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",102300.0
KAHULUI,"TIRE DEALERS",102100.0
"PEARL CITY","ALL OTHER HEALTH AND PERSONAL CARE STORES",102100.0
KANEOHE,"FREESTANDING AMBULATORY SURGICAL AND EMERGENCY CENTERS",102000.0
PUUNENE,"MOTOR VEHICLE TOWING",101800.0
HONOLULU,"CEMETERIES AND CREMATORIES",101450.833333333
WAHIAWA,"NEW HOUSING FOR-SALE BUILDERS",101000.0
HILO,"GEOPHYSICAL SURVEYING AND MAPPING SERVICES",100993.75
HALEIWA,"GIFT, NOVELTY, AND SOUVENIR STORES",100625.0
KAMUELA,"COLLECTION AGENCIES",100600.0
KAUNAKAKAI,"GASOLINE STATIONS WITH CONVENIENCE STORES",100320.0
HILO,"OTHER SPECTATOR SPORTS",100300.0
"PEARL CITY","OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",100300.0
HANALEI,"TOUR OPERATORS",100200.0
WAILUKU,"OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS",100200.0
WAILUKU,"AMUSEMENT AND THEME PARKS",100139.435
HILO,"EXTERMINATING AND PEST CONTROL SERVICES",100100.0
ANAHOLA,"ENGINEERING SERVICES",100000.0
"KAILUA KONA","OTHER AQUACULTURE",100000.0
KEAAU,"WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION",100000.0
WAIANAE,"NURSERY, GARDEN CENTER, AND FARM SUPPLY STORES",100000.0
HONOLULU,"PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS)",99695.0
LAHAINA,"GLASS AND GLAZING CONTRACTORS",99675.0
KAUNAKAKAI,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",99500.0
WAIPAHU,"FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES MERCHANT WHOLESALERS",99500.0
WAIPAHU,"OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS",99457.0
WAIANAE,"WELDING AND SOLDERING EQUIPMENT MANUFACTURING",99360.0
HONOLULU,"READY-MIX CONCRETE MANUFACTURING",99100.0
HONOLULU,"HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",98950.0
HONOLULU,"ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS",98685.0
KANEOHE,"ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION",98500.0
"KAILUA KONA","AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",98366.6666666667
HAUULA,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",98000.0
KAPAA,"OUTDOOR POWER EQUIPMENT STORES",97700.0
HILO,"FARM MACHINERY AND EQUIPMENT MANUFACTURING",97500.0
KEALAKEKUA,"OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS",97433.3333333333
HILO,"GASOLINE STATIONS WITH CONVENIENCE STORES",97400.0
WAIPAHU,"OTHER SERVICES RELATED TO ADVERTISING",97300.0
HONOLULU,"FUNERAL HOMES AND FUNERAL SERVICES",97100.0
WAIPAHU,"OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES",96817.0
HOLUALOA,"SITE PREPARATION CONTRACTORS",96700.0
HONOLULU,"SUPPORT ACTIVITIES FOR FORESTRY",96600.0
HILO,"INDUSTRIAL BUILDING CONSTRUCTION",96500.0
KOLOA,"LIMITED-SERVICE RESTAURANTS",96450.0
HAUULA,"GIFT, NOVELTY, AND SOUVENIR STORES",96400.0
HONOLULU,"FOOTWEAR MANUFACTURING",96300.0
KEAAU,"SHELLFISH FARMING",96250.0
AIEA,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",96092.0
MAKAWAO,"OFFICES OF DENTISTS",96056.6666666667
HANALEI,"FROZEN SPECIALTY FOOD MANUFACTURING",96000.0
MAKAWAO,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",96000.0
HONOLULUOLULU,"FULL-SERVICE RESTAURANTS",95915.0
LIHUE,"DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)",95850.0
VOLCANO,WINERIES,95700.0
KAPOLEI,"COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE",95539.0
KAILUA,"PERISHABLE PREPARED FOOD MANUFACTURING",95500.0
WAILUKU,"VOLUNTARY HEALTH ORGANIZATIONS",95400.0
KAMUELA,"THEATER COMPANIES AND DINNER THEATERS",95300.0
KEALAKEKUA,APICULTURE,95061.0
HONOLULU,"EXECUTIVE SEARCH SERVICES",95021.6666666667
KAILUA,"WATER SUPPLY AND IRRIGATION SYSTEMS",94800.0
KULA,"NURSERY AND TREE PRODUCTION",94610.0
KAHULUI,"DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)",94520.0
ELEELE,"ELEMENTARY AND SECONDARY SCHOOLS",94437.0
KILAUEA,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",94400.0
"CAPTAIN COOK","POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS",94320.0
WAIPAHU,"OTHER GENERAL GOVERNMENT SUPPORT",94300.0
KAPOLEI,"ROOFING CONTRACTORS",94273.51
WAIANAE,"RECYCLABLE MATERIAL MERCHANT WHOLESALERS",94265.0
KAMUELA,"OFFICES OF OPTOMETRISTS",94100.0
KAMUELA,"ALL OTHER CONSUMER GOODS RENTAL",94000.0
KEAAU,"NURSERY, GARDEN CENTER, AND FARM SUPPLY STORES",94000.0
LAWAI,"GIFT, NOVELTY, AND SOUVENIR STORES",93850.0
HONOLULU,"HMO MEDICAL CENTERS",93830.0
KANEOHE,"ADMINISTRATION OF URBAN PLANNING AND COMMUNITY AND RURAL DEVELOPMENT",93800.0
KAHULUI,"COFFEE AND TEA MANUFACTURING",93584.72
"PEARL CITY","SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS",93400.0
HAIKU,"ELEMENTARY AND SECONDARY SCHOOLS",93100.0
PAIA,"SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS",93085.0
WAHIAWA,"ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING",92670.0
